Retailer ID,Invoice Date,Region,State,City,ID_Product,Family,Gender,Category,Silhouette,Primary Color,Price per Unit,Units Sold,Operating Margin,Sales Method
1185732,1/1/2020,1,1,1,3,3,1,2,4,1,47,336,61,3
1185732,1/1/2020,1,1,1,3,3,1,3,6,3,50,200,5,1
1185732,1/1/2020,1,1,1,6,1,2,4,12,3,34,384,52,2
1185732,1/1/2020,1,5,7,8,2,2,4,14,2,75,275,3,2
1185732,1/1/2020,1,5,7,9,3,2,4,16,2,68,83,43,3
1185732,1/1/2020,1,5,7,9,3,2,4,17,2,53,83,32,2
1185732,2/1/2020,1,1,1,3,3,1,2,4,2,50,1000,3,1
1185732,2/1/2020,1,1,1,3,3,1,1,4,1,47,260,42,3
1185732,2/1/2020,1,1,1,3,3,1,3,6,3,36,320,35,2
1128299,2/1/2020,1,5,7,3,3,1,3,7,3,35,450,4,2
1128299,2/1/2020,1,5,7,3,3,1,1,4,3,32,122,51,3
1128299,2/1/2020,1,5,7,6,1,2,4,12,4,27,158,42,2
1128299,3/1/2020,1,5,7,3,3,1,3,8,1,44,117,37,3
1128299,3/1/2020,1,5,7,5,3,1,4,9,3,45,450,25,2
1128299,3/1/2020,1,5,7,9,3,2,4,17,2,35,135,31,2
1185732,3/1/2020,1,1,1,9,3,2,4,17,3,40,1000,35,1
1185732,3/1/2020,1,1,1,1,3,3,4,19,2,36,250,46,3
1185732,3/1/2020,1,1,1,1,3,3,4,19,2,32,350,37,2
1185732,4/1/2020,1,1,1,3,3,1,2,4,2,45,850,35,1
1185732,4/1/2020,1,1,1,3,3,1,1,5,1,41,247,46,3
1128299,4/1/2020,1,5,7,5,3,1,4,9,3,45,450,4,2
1185732,4/1/2020,1,1,1,9,3,2,4,16,3,36,281,37,2
1128299,4/1/2020,1,5,7,1,3,3,4,19,2,41,117,54,3
1128299,4/1/2020,1,5,7,1,3,3,4,19,2,36,140,47,2
1185732,5/1/2020,1,1,1,3,3,1,1,4,2,43,306,37,2
1185732,5/1/2020,1,1,1,3,3,1,1,4,2,60,900,3,1
1185732,5/1/2020,1,1,1,3,3,1,3,7,1,55,234,4,3
1128299,5/1/2020,1,5,7,5,3,1,4,9,3,45,300,35,2
1128299,5/1/2020,1,5,7,9,3,2,4,17,3,43,87,5,3
1128299,5/1/2020,1,5,7,9,3,2,4,16,3,34,90,41,2
1128299,6/1/2020,3,6,8,4,2,1,4,2,4,50,250,55,2
1128299,6/1/2020,3,6,8,3,3,1,1,4,3,47,70,65,3
1185732,6/1/2020,1,1,1,3,3,1,1,4,2,50,1000,25,1
1185732,6/1/2020,1,1,1,9,3,2,4,16,2,46,260,37,3
1128299,6/1/2020,3,6,8,9,3,2,4,17,2,37,80,57,2
1185732,6/1/2020,1,1,1,9,3,2,4,17,2,38,330,32,2
1185732,7/1/2020,1,1,1,3,3,1,1,5,1,46,313,62,3
1185732,7/1/2020,1,1,1,3,3,1,1,4,3,50,250,5,1
1185732,7/1/2020,1,1,1,6,1,2,4,12,3,33,388,52,2
1128299,7/1/2020,3,6,8,8,2,2,4,14,2,45,475,2,2
1128299,7/1/2020,3,6,8,9,3,2,4,16,2,41,128,3,3
1128299,7/1/2020,3,6,8,9,3,2,4,17,2,36,166,24,2
1185732,8/1/2020,1,1,1,4,2,1,4,2,4,50,900,3,2
1185732,8/1/2020,1,1,1,3,3,1,3,6,1,46,261,44,3
1185732,8/1/2020,1,1,1,3,3,1,1,4,3,39,315,33,2
1128299,8/1/2020,3,6,8,3,3,1,3,7,3,34,158,5,3
1128299,8/1/2020,3,6,8,6,1,2,4,12,4,27,173,43,2
1128299,8/1/2020,3,6,8,9,3,2,4,17,1,35,525,4,2
1128299,9/1/2020,3,6,8,3,3,1,1,4,1,43,128,4,3
1128299,9/1/2020,3,6,8,5,3,1,4,9,3,45,425,25,2
1128299,9/1/2020,3,6,8,9,3,2,4,17,2,35,145,31,2
1128299,10/1/2020,3,6,8,9,3,2,4,16,2,31,140,43,2
1128299,10/1/2020,3,6,8,9,3,2,4,16,3,45,425,4,2
1128299,10/1/2020,3,6,8,1,3,3,4,19,2,41,119,53,3
1128299,11/1/2020,3,6,8,9,3,2,4,16,2,30,85,41,2
1128299,11/1/2020,3,6,8,9,3,2,4,16,7,45,275,35,2
1128299,11/1/2020,3,6,8,9,3,2,4,17,3,44,74,46,3
1128299,12/1/2020,3,6,8,3,3,1,1,4,4,50,200,55,2
1128299,12/1/2020,3,6,8,3,3,1,1,4,2,37,70,61,2
1128299,12/1/2020,3,6,8,3,3,1,3,6,1,46,52,7,3
1128299,13/1/2020,3,6,8,8,2,2,4,14,2,45,400,2,2
1128299,13/1/2020,3,6,8,9,3,2,4,16,2,41,116,34,3
1128299,13/1/2020,3,6,8,9,3,2,4,16,2,31,140,23,2
1128299,14/1/2020,3,6,8,3,3,1,1,4,1,43,160,55,3
1128299,14/1/2020,3,6,8,6,1,2,4,12,4,31,182,45,2
1128299,14/1/2020,3,6,8,9,3,2,4,17,1,45,550,4,2
1128299,15/1/2020,3,6,8,3,3,1,3,7,1,50,120,4,3
1128299,15/1/2020,3,6,8,3,3,1,1,4,3,42,124,32,2
1128299,15/1/2020,3,6,8,5,3,1,4,9,3,55,400,25,2
1128299,16/1/2020,3,6,8,9,3,2,4,16,2,43,128,47,2
1128299,16/1/2020,3,6,8,9,3,2,4,16,3,55,400,4,2
1128299,16/1/2020,3,6,8,1,3,3,4,19,2,52,104,53,3
1128299,17/1/2020,3,6,8,3,3,1,3,7,1,50,84,47,3
1128299,17/1/2020,3,6,8,5,3,1,4,9,3,55,300,35,2
1128299,17/1/2020,3,6,8,9,3,2,4,16,2,41,93,41,2
1128299,18/1/2020,3,6,8,3,3,1,1,4,4,60,175,55,2
1128299,18/1/2020,3,6,8,3,3,1,1,4,3,55,47,7,3
1128299,18/1/2020,3,6,8,3,3,1,1,4,2,44,60,62,2
1128299,19/1/2020,3,6,8,3,3,1,3,6,1,54,94,34,3
1128299,19/1/2020,3,6,8,9,3,2,4,16,2,39,124,26,2
1128299,19/1/2020,3,6,8,9,3,2,4,17,1,55,375,2,2
1128299,20/1/2020,3,6,8,3,3,1,1,4,1,58,143,51,3
1128299,20/1/2020,3,6,8,5,3,1,4,9,3,60,550,4,2
1128299,20/1/2020,3,6,8,9,3,2,4,16,2,41,171,42,2
1128299,21/1/2020,3,6,8,3,3,1,1,4,1,62,102,38,3
1128299,21/1/2020,3,6,8,5,3,1,4,9,3,65,350,25,2
1128299,21/1/2020,3,6,8,9,3,2,4,16,2,46,116,29,2
1185732,21/1/2020,1,1,1,9,3,2,4,17,3,40,950,35,2
1185732,21/1/2020,1,1,1,1,3,3,4,19,2,36,276,47,3
1185732,21/1/2020,1,1,1,1,3,3,4,19,2,32,323,38,2
1128299,22/1/2020,3,6,8,5,3,1,4,9,3,65,400,4,2
1128299,22/1/2020,3,6,8,9,3,2,4,16,2,47,120,45,2
1185732,22/1/2020,1,1,1,9,3,2,4,17,7,45,825,35,2
1185732,22/1/2020,1,1,1,9,3,2,4,17,3,44,206,49,3
1185732,22/1/2020,1,1,1,9,3,2,4,16,3,32,248,38,2
1128299,22/1/2020,3,6,8,1,3,3,4,19,2,61,120,53,3
1185732,23/1/2020,1,1,1,4,2,1,4,2,4,60,900,3,2
1185732,23/1/2020,1,1,1,3,3,1,1,4,2,43,306,35,2
1185732,23/1/2020,1,1,1,3,3,1,1,4,1,58,243,43,3
1128299,23/1/2020,3,6,8,3,3,1,1,4,1,59,75,46,3
1128299,23/1/2020,3,6,8,9,3,2,4,16,1,60,300,35,2
1128299,23/1/2020,3,6,8,9,3,2,4,16,3,40,90,41,2
1128299,24/1/2020,3,6,8,3,3,1,1,4,4,65,200,55,2
1128299,24/1/2020,3,6,8,3,3,1,1,4,2,47,62,61,2
